Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,accom_type,London_or_out,Flow,Age,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
North America,4-13 days,500-1000 GBP,2,1,1.0,5,1,4,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,1000-5000 GBP,2,0,1.0,4,1,2,Holiday,0.5,0.1,0.4,0.0
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,7,3,Business or Work,0.4275324675324675,0.0,0.5724675324675326,0.0
Asia,4-13 days,250-500 GBP,0,1,1.0,2,7,4,Education and Other,0.0,0.1,0.33333333333333337,0.5666666666666667
Asia,3-6 months,1000-5000 GBP,0,0,1.0,2,7,1,Education and Other,0.0,0.1,0.0,0.9
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,7,4,Business or Work,0.24135235909245734,0.02785429089966295,0.6693080101369042,0.06148533987097562
Asia,4-13 days,500-1000 GBP,1,1,1.0,5,7,2,Business or Work,0.24999999999999994,0.0,0.4166666666666667,0.33333333333333337
Non-EU Europe,4-13 days,500-1000 GBP,1,0,1.0,6,7,4,Business or Work,0.36772727272727274,0.0,0.6322727272727272,0.0
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,7,2,Business or Work,0.8228496141539621,0.0,0.11924995294560511,0.0579004329004329
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1,0,1.0,8,7,6,Holiday,0.0,0.0,0.4,0.6
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,7,4,Holiday,0.24135235909245734,0.02785429089966295,0.6693080101369042,0.06148533987097562
Africa,4-13 days,1000-5000 GBP,1,1,1.0,5,7,4,Business or Work,0.6108333333333333,0.0,0.3891666666666667,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,8,7,4,Holiday,0.0125,0.05,0.6375,0.3
Asia,4-13 days,more than 5000 GBP,1,1,1.0,5,7,2,Business or Work,0.61,0.0,0.2233333333333333,0.16666666666666666
Asia,4-13 days,500-1000 GBP,1,0,1.0,5,7,6,Holiday,0.4541666666666666,0.0,0.5458333333333334,0.0
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1,0,1.0,5,7,4,VFF,0.06666666666666667,0.0,0.4333333333333334,0.5
Africa,4-13 days,0-250 GBP,0,0,1.0,4,7,1,Business or Work,0.0,0.15,0.1,0.75
Non-EU Europe,14-27 days,1000-5000 GBP,1,1,1.0,4,7,1,Holiday,0.49000000000000005,0.0,0.41,0.1
Asia,14-27 days,250-500 GBP,0,0,1.0,5,7,4,Holiday,0.0,0.0,0.1,0.9
South America,1-3 days,1000-5000 GBP,1,0,1.0,4,7,5,Business or Work,0.7,0.0,0.2,0.1
UK,4-13 days,500-1000 GBP,0,0,1.0,5,7,6,VFF,0.0,0.0,0.0,1.0
UK,1-3 months,0-250 GBP,0,0,1.0,8,7,7,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,0,0,1.0,8,7,1,Holiday,0.0,0.0,0.0,1.0
Asia,1-3 days,250-500 GBP,1,1,1.0,5,7,5,Business or Work,0.225,0.0,0.775,0.0
Asia,14-27 days,1000-5000 GBP,0,1,1.0,4,7,5,Holiday,0.0,0.0,0.325,0.6749999999999999
EU,4-13 days,500-1000 GBP,1,1,1.0,5,1,5,Holiday,0.36279420978127874,0.0,0.5572375914315569,0.0799681987871643
North America,1-3 days,500-1000 GBP,1,1,1.0,4,1,6,Holiday,0.3253373015873017,0.18563492063492065,0.48902777777777773,0.0
EU,4-13 days,250-500 GBP,0,1,1.0,5,1,4,VFF,0.29857142857142854,0.0,0.29285714285714287,0.40857142857142853
EU,1-3 days,500-1000 GBP,2,0,1.0,4,1,7,Holiday,0.0,0.0,0.41666666666666663,0.5833333333333333
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,1,5,Business or Work,0.6009797065679419,0.0,0.20555258467023174,0.19346770876182637
EU,1-3 days,250-500 GBP,2,0,1.0,5,1,7,Holiday,0.0,0.0,0.8818040293040292,0.1181959706959707
EU,1-3 days,250-500 GBP,2,1,1.0,4,1,7,Holiday,0.0,0.0,0.7240873015873015,0.2759126984126984
EU,4-13 days,250-500 GBP,2,1,1.0,5,1,5,Holiday,0.0,0.0,0.8,0.2
Non-EU Europe,1-3 days,250-500 GBP,2,0,1.0,6,1,7,Holiday,0.0,0.014285714285714285,0.9766233766233766,0.00909090909090909
South America,4-13 days,250-500 GBP,0,0,1.0,5,1,6,VFF,0.1,0.0,0.6,0.3
EU,4-13 days,0-250 GBP,1,0,1.0,6,1,7,Business or Work,0.1675,0.0,0.5475,0.285
Non-EU Europe,1-3 days,500-1000 GBP,1,0,1.0,5,1,6,Holiday,0.0,0.0,1.0,0.0
Asia,4-13 days,500-1000 GBP,1,1,1.0,5,1,1,Holiday,0.13333333333333333,0.0,0.8666666666666668,0.0
UK,4-13 days,1000-5000 GBP,1,0,1.0,6,1,5,VFF,0.0,0.0,0.2,0.8
UK,1-3 days,0-250 GBP,0,1,1.0,6,1,6,VFF,0.0,0.0,0.18666666666666668,0.8133333333333332
Asia,1-3 months,0-250 GBP,0,1,1.0,7,1,3,VFF,0.0,0.0,0.3,0.7
EU,1-3 days,1000-5000 GBP,1,1,1.0,7,2,7,Holiday,0.0,0.02,0.96,0.02
EU,1-3 days,1000-5000 GBP,1,1,1.0,5,2,7,Holiday,0.12688485920684064,0.0,0.7190144478844169,0.15410069290874245
EU,1-3 days,250-500 GBP,2,0,1.0,7,2,1,VFF,0.0,0.0,0.09333333333333334,0.9066666666666666
North America,4-13 days,500-1000 GBP,0,0,1.0,5,2,3,VFF,0.0,0.0,0.0,1.0
UK,4-13 days,250-500 GBP,0,0,1.0,7,2,7,VFF,0.0,0.0,0.0,1.0
EU,1-3 days,500-1000 GBP,0,1,1.0,5,2,7,Holiday,0.0,0.0,0.47666666666666657,0.5233333333333333
UK,1-3 days,0-250 GBP,0,1,1.0,5,2,7,VFF,0.0,0.0,0.1,0.9
Africa,4-13 days,250-500 GBP,1,0,1.0,5,2,6,Holiday,0.225,0.0,0.7,0.075
North America,4-13 days,0-250 GBP,0,1,1.0,8,2,4,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,500-1000 GBP,0,1,1.0,4,2,7,VFF,0.0,0.0,0.29357142857142854,0.7064285714285713
North America,4-13 days,500-1000 GBP,1,0,1.0,5,2,4,Holiday,0.0,0.0,1.0,0.0
EU,3-6 months,more than 5000 GBP,0,0,1.0,8,3,6,VFF,0.0,0.4,0.1,0.5
North America,4-13 days,1000-5000 GBP,1,0,1.0,5,3,4,Business or Work,0.0,0.0,1.0,0.0
EU,1-3 days,500-1000 GBP,1,1,1.0,8,3,1,Holiday,0.01,0.0,0.89,0.1
EU,4-13 days,0-250 GBP,0,0,1.0,8,3,4,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,2,0,1.0,6,3,1,Education and Other,0.05,0.0,0.75,0.2
EU,4-13 days,250-500 GBP,2,0,1.0,5,3,6,VFF,0.0,0.4,0.35,0.25
EU,4-13 days,500-1000 GBP,1,1,1.0,4,3,2,Business or Work,0.6,0.0,0.4,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,6,3,7,VFF,0.0,0.0,0.1578672912916975,0.8421327087083025
North America,4-13 days,500-1000 GBP,1,0,1.0,4,3,6,Holiday,0.1,0.0,0.6680952380952381,0.2319047619047619
Asia,4-13 days,1000-5000 GBP,1,1,1.0,4,3,3,Business or Work,0.19261904761904763,0.0,0.8073809523809523,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,2,5,Business or Work,0.38017082590612,0.0,0.6198291740938799,0.0
EU,1-3 days,250-500 GBP,0,0,1.0,4,2,7,Holiday,0.0,0.011298822639602355,0.6109458061125504,0.37775537124784725
Asia,4-13 days,500-1000 GBP,1,1,1.0,6,2,6,Holiday,0.0,0.0,1.0,0.0
North America,1-3 days,500-1000 GBP,1,1,1.0,2,2,7,VFF,0.0,0.5504761904761905,0.44952380952380955,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,2,2,6,VFF,0.0,0.0,0.5219081526839026,0.47809184731609733
Africa,4-13 days,1000-5000 GBP,1,0,1.0,8,2,7,Holiday,0.4,0.0,0.4,0.2
EU,4-13 days,0-250 GBP,2,0,1.0,6,2,6,Holiday,0.62,0.0,0.38,0.0
EU,4-13 days,500-1000 GBP,1,0,1.0,5,2,6,Business or Work,0.06615384615384615,0.0,0.8665567765567765,0.0672893772893773
South America,4-13 days,500-1000 GBP,1,0,1.0,3,2,4,Holiday,0.5,0.0,0.3,0.2
EU,,0-250 GBP,1,0,1.0,4,2,2,Business or Work,0.8136885663356251,0.0,0.13659791189202952,0.0497135217723453
EU,4-13 days,1000-5000 GBP,1,1,1.0,7,2,6,Holiday,0.13333333333333333,0.1,0.6523809523809524,0.11428571428571428
Non-EU Europe,4-13 days,250-500 GBP,1,0,1.0,6,2,4,Holiday,0.46333333333333326,0.0,0.5033333333333333,0.03333333333333333
North America,4-13 days,250-500 GBP,0,0,1.0,7,2,6,VFF,0.0,0.0,0.5228571428571429,0.47714285714285715
EU,1-3 days,250-500 GBP,1,0,1.0,6,2,7,Holiday,0.015796603157966525,0.057024258502203454,0.8391982790488743,0.08798085929095559
North America,1-3 days,500-1000 GBP,1,1,1.0,5,5,4,Business or Work,0.9078296703296702,0.0,0.09217032967032968,0.0
EU,,,0,1,1.0,5,5,5,Education and Other,0.6,0.2,0.0,0.2
Non-EU Europe,,0-250 GBP,1,1,1.0,4,5,5,Business or Work,0.4303030303030303,0.1,0.44526515151515145,0.024431818181818183
EU,,0-250 GBP,1,1,1.0,6,5,5,Business or Work,0.9665827276069212,0.0,0.033417272393078845,0.0
EU,4-13 days,1000-5000 GBP,2,1,1.0,4,5,6,Holiday,0.1,0.0,0.7,0.2
North America,,0-250 GBP,1,1,1.0,4,5,5,Business or Work,0.2,0.0,0.8,0.0
Asia,4-13 days,1000-5000 GBP,0,1,1.0,4,5,7,Holiday,0.0,0.0,0.0,1.0
Africa,4-13 days,1000-5000 GBP,0,0,1.0,6,5,5,Holiday,0.0,0.0,0.30833333333333335,0.6916666666666667
EU,1-3 days,0-250 GBP,1,1,1.0,5,5,4,Business or Work,0.7717961659943084,0.0,0.22820383400569155,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,5,3,Business or Work,0.8981471563698793,0.0,0.08998247325975028,0.01187037037037037
EU,,0-250 GBP,2,1,1.0,7,5,5,Business or Work,0.4625,0.0,0.5375,0.0
EU,4-13 days,250-500 GBP,0,0,1.0,5,5,1,VFF,0.0,0.0,0.27595238095238095,0.724047619047619
North America,1-3 days,0-250 GBP,2,1,1.0,7,5,4,Business or Work,0.9,0.0,0.1,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,7,7,3,Holiday,0.0,0.0,0.9464285714285715,0.05357142857142857
North America,4-13 days,0-250 GBP,0,0,1.0,5,7,6,VFF,0.0,0.0,0.22999999999999998,0.77
EU,4-13 days,250-500 GBP,1,1,1.0,6,7,4,Holiday,0.0,0.0,0.7970948495948497,0.20290515040515036
EU,1-3 days,500-1000 GBP,1,0,1.0,5,7,5,Business or Work,0.6846672934908229,0.0,0.3153327065091771,0.0
North America,4-13 days,250-500 GBP,1,1,1.0,7,7,4,Holiday,0.0875,0.0,0.9125,0.0
EU,4-13 days,0-250 GBP,0,1,1.0,8,7,1,VFF,0.0,0.0,0.6880952380952381,0.31190476190476185
North America,1-3 days,250-500 GBP,1,1,1.0,6,7,6,Holiday,0.0,0.0,1.0,0.0
UK,14-27 days,250-500 GBP,0,0,1.0,4,7,6,VFF,0.0,0.0,0.09,0.9099999999999999
Africa,4-13 days,250-500 GBP,0,0,1.0,5,7,4,VFF,0.1,0.0,0.0,0.9
Asia,1-3 days,250-500 GBP,1,1,1.0,4,7,6,Holiday,0.34555555555555556,0.0,0.6544444444444444,0.0
North America,4-13 days,500-1000 GBP,0,1,1.0,7,7,2,VFF,0.1,0.0,0.5,0.4
Non-EU Europe,1-3 days,0-250 GBP,0,0,1.0,8,2,7,VFF,0.0,0.0,0.025634920634920632,0.9743650793650793
Asia,4-13 days,500-1000 GBP,0,0,1.0,7,2,4,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1,0,1.0,4,2,6,Business or Work,0.08232225460900598,0.051435803894969045,0.7494114924196593,0.1168304490763656
North America,1-3 days,250-500 GBP,2,1,1.0,4,2,1,Holiday,0.0,0.02,0.6799999999999999,0.3
North America,14-27 days,500-1000 GBP,2,0,1.0,2,2,3,Holiday,0.1,0.3,0.4,0.2
EU,1-3 days,500-1000 GBP,1,1,1.0,2,2,7,Holiday,0.0,0.0,1.0,0.0
South America,1-3 days,250-500 GBP,0,0,1.0,5,2,1,VFF,0.027692307692307693,0.0,0.2938461538461538,0.6784615384615386
Africa,4-13 days,250-500 GBP,0,0,1.0,7,2,4,VFF,0.0,0.03333333333333333,0.0,0.9666666666666666
UK,1-3 days,250-500 GBP,1,0,1.0,8,2,1,Education and Other,0.1,0.3,0.3,0.3
EU,1-3 days,250-500 GBP,2,1,1.0,4,2,1,Holiday,0.0,0.33333333333333337,0.6666666666666667,0.0
EU,4-13 days,250-500 GBP,1,1,1.0,4,2,5,Business or Work,0.0,0.0,0.9055678269958456,0.09443217300415443
Asia,1-3 days,500-1000 GBP,1,1,1.0,5,4,3,Business or Work,0.8623931623931623,0.0,0.09658119658119657,0.041025641025641026
North America,1-3 days,0-250 GBP,1,1,1.0,5,4,3,Holiday,0.6407142857142858,0.0,0.3592857142857143,0.0
EU,4-13 days,500-1000 GBP,1,1,1.0,7,4,6,Holiday,0.05714285714285714,0.0,0.8428571428571429,0.1
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,4,5,Holiday,0.19486374736374737,0.0,0.8051362526362527,0.0
North America,,250-500 GBP,1,1,1.0,4,4,4,Holiday,0.6614285714285714,0.0,0.3385714285714286,0.0
North America,4-13 days,0-250 GBP,0,0,1.0,5,4,1,VFF,0.0,0.0,0.6,0.4
North America,4-13 days,0-250 GBP,0,0,1.0,5,4,6,VFF,0.0,0.0,0.29500000000000004,0.705
North America,1-3 days,1000-5000 GBP,1,1,1.0,7,4,2,Business or Work,0.6855627705627705,0.0,0.3144372294372294,0.0
EU,1-3 days,0-250 GBP,1,1,1.0,6,4,2,Business or Work,0.21764069264069263,0.0,0.7823593073593074,0.0
Asia,1-3 months,250-500 GBP,0,1,1.0,7,5,4,VFF,0.0,0.0,0.3,0.7
North America,1-3 days,1000-5000 GBP,0,0,1.0,7,5,3,Business or Work,0.0,0.0,0.2,0.8
North America,1-3 days,1000-5000 GBP,0,1,1.0,4,5,3,Business or Work,0.225,0.1,0.35,0.325
EU,,0-250 GBP,1,1,1.0,2,5,5,Business or Work,0.0,0.0,0.9184920634920635,0.0815079365079365
UK,,500-1000 GBP,1,1,1.0,5,5,5,Business or Work,1.0,0.0,0.0,0.0
North America,1-3 days,500-1000 GBP,1,1,1.0,7,5,3,Holiday,0.22333333333333333,0.0,0.7766666666666666,0.0
UK,1-3 days,0-250 GBP,0,0,1.0,4,5,4,Education and Other,0.41785714285714287,0.0,0.2678571428571429,0.3142857142857143
UK,4-13 days,0-250 GBP,0,0,1.0,6,5,2,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,1000-5000 GBP,1,1,1.0,7,5,1,VFF,0.4833333333333333,0.0,0.5166666666666666,0.0
EU,4-13 days,1000-5000 GBP,1,0,1.0,2,5,2,Business or Work,0.2507936507936508,0.12083333333333332,0.6283730158730159,0.0
North America,1-3 days,500-1000 GBP,0,0,1.0,8,5,3,Holiday,0.0,0.0,0.7,0.3
North America,1-3 days,0-250 GBP,1,0,1.0,5,5,3,Business or Work,0.5416666666666666,0.0,0.4583333333333333,0.0
North America,1-3 days,0-250 GBP,1,1,1.0,6,5,3,Holiday,0.8633333333333333,0.0,0.13666666666666666,0.0
North America,4-13 days,500-1000 GBP,1,0,1.0,5,5,6,Holiday,0.0,0.0,0.8474999999999999,0.1525
North America,1-3 days,0-250 GBP,2,1,1.0,4,5,4,Holiday,0.0,0.0,1.0,0.0
Africa,4-13 days,0-250 GBP,0,0,1.0,5,5,3,VFF,0.0,0.0,0.1,0.9
EU,,0-250 GBP,1,1,1.0,4,5,5,Business or Work,0.6032932263814617,0.0,0.3131689797130973,0.08353779390544097
EU,1-3 days,250-500 GBP,1,0,1.0,7,5,3,Business or Work,0.5637267080745342,0.0,0.2830883367839889,0.15318495514147687
North America,1-3 days,250-500 GBP,1,1,1.0,4,5,4,Holiday,0.0,0.0,1.0,0.0
EU,4-13 days,1000-5000 GBP,1,0,1.0,5,6,3,Business or Work,0.8956713155176912,0.0,0.10432868448230889,0.0
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1,0,1.0,8,6,2,VFF,0.06666666666666667,0.3,0.5833333333333334,0.05
North America,14-27 days,1000-5000 GBP,1,0,1.0,8,6,6,Holiday,0.0,0.0,0.6033333333333333,0.39666666666666667
Asia,4-13 days,500-1000 GBP,1,0,1.0,4,6,6,Business or Work,0.0,0.0,1.0,0.0
South America,14-27 days,1000-5000 GBP,1,0,1.0,4,6,7,Education and Other,0.35,0.0,0.33666666666666667,0.31333333333333335
North America,1-3 days,0-250 GBP,2,1,1.0,7,6,5,Business or Work,0.5333333333333333,0.0,0.3,0.16666666666666666
Asia,4-13 days,500-1000 GBP,0,1,1.0,7,6,2,VFF,0.1,0.0,0.2,0.7
Asia,4-13 days,250-500 GBP,1,1,1.0,5,6,3,Business or Work,0.8183333333333334,0.0,0.18166666666666667,0.0
North America,1-3 days,1000-5000 GBP,1,0,1.0,6,5,3,Holiday,1.0,0.0,0.0,0.0
North America,,250-500 GBP,1,0,1.0,5,5,5,Business or Work,0.9,0.0,0.1,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,4,5,3,Business or Work,0.8961139761710439,0.0,0.0882860123143406,0.01560001151461549
EU,1-3 days,500-1000 GBP,1,0,1.0,4,5,3,Business or Work,0.8961139761710439,0.0,0.0882860123143406,0.01560001151461549
North America,4-13 days,250-500 GBP,0,0,1.0,6,5,6,VFF,0.0,0.0,0.03333333333333333,0.9666666666666668
EU,1-3 days,250-500 GBP,1,1,1.0,4,5,4,Holiday,0.8811513632566264,0.0,0.11884863674337356,0.0
Asia,4-13 days,0-250 GBP,0,1,1.0,2,5,6,VFF,0.0,0.0,0.1,0.9
UK,1-3 days,500-1000 GBP,1,0,1.0,6,5,3,VFF,1.0,0.0,0.0,0.0
EU,4-13 days,0-250 GBP,0,0,1.0,8,5,2,VFF,0.0,0.0,0.1492857142857143,0.8507142857142856
North America,4-13 days,1000-5000 GBP,0,0,1.0,7,5,1,VFF,0.0,0.0,0.9,0.1
North America,4-13 days,500-1000 GBP,1,1,1.0,5,5,3,Holiday,0.0,0.0,0.515,0.485
UK,14-27 days,1000-5000 GBP,0,0,1.0,8,5,2,Holiday,0.0,0.0,0.0,1.0
North America,4-13 days,500-1000 GBP,2,1,1.0,4,5,1,Holiday,0.15,0.0,0.7166666666666666,0.13333333333333333
North America,4-13 days,1000-5000 GBP,1,0,1.0,4,5,6,Holiday,0.44333333333333336,0.0,0.5566666666666666,0.0
North America,4-13 days,0-250 GBP,0,1,1.0,4,5,6,Holiday,0.0,0.0,0.2,0.8
South America,4-13 days,1000-5000 GBP,1,0,1.0,6,5,2,Holiday,0.49787878787878787,0.0,0.5021212121212122,0.0
North America,4-13 days,500-1000 GBP,1,1,1.0,4,5,2,Holiday,0.2261904761904762,0.0,0.7738095238095238,0.0
Asia,4-13 days,1000-5000 GBP,1,1,1.0,5,5,6,Holiday,0.15094988344988344,0.0,0.7399067599067599,0.10914335664335664
EU,1-3 days,500-1000 GBP,1,0,1.0,5,6,5,Business or Work,0.8796474070431065,0.024492113043139998,0.09586047991375332,0.0
EU,,250-500 GBP,1,0,1.0,6,6,6,Business or Work,0.9313080863341165,0.0,0.0,0.0686919136658835
Africa,4-13 days,1000-5000 GBP,1,1,1.0,5,6,1,Business or Work,0.6916666666666667,0.03333333333333333,0.275,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,6,6,4,Business or Work,0.8939438903761994,0.0,0.10605610962380044,0.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,5,6,4,Business or Work,0.9122023809523808,0.0,0.08779761904761904,0.0
Non-EU Europe,4-13 days,250-500 GBP,0,1,1.0,2,6,2,VFF,0.0,0.03333333333333333,0.5061904761904762,0.46047619047619054
EU,,0-250 GBP,1,1,1.0,7,6,6,Business or Work,1.0,0.0,0.0,0.0
South America,14-27 days,1000-5000 GBP,1,1,1.0,6,6,2,Holiday,0.3607843137254902,0.0,0.5392156862745099,0.1
North America,4-13 days,1000-5000 GBP,1,1,1.0,5,6,3,Business or Work,0.9143029925407404,0.0,0.08569700745925964,0.0
Africa,4-13 days,500-1000 GBP,1,1,1.0,6,6,7,Business or Work,0.7222222222222222,0.0,0.1,0.17777777777777776
Asia,4-13 days,1000-5000 GBP,1,0,1.0,4,1,1,Holiday,0.665982905982906,0.0,0.334017094017094,0.0
South America,4-13 days,1000-5000 GBP,1,0,1.0,4,1,4,Business or Work,0.21000000000000002,0.0,0.79,0.0
EU,4-13 days,1000-5000 GBP,1,1,1.0,6,1,3,Business or Work,0.06,0.31666666666666665,0.6233333333333334,0.0
UK,1-3 days,250-500 GBP,0,0,1.0,5,1,7,Holiday,0.07144724556489263,0.0,0.0,0.9285527544351074
EU,4-13 days,250-500 GBP,1,1,1.0,6,1,5,Holiday,0.1126594757067021,0.0,0.763328551758087,0.1240119725352109
EU,1-3 days,250-500 GBP,1,0,1.0,5,1,6,Business or Work,0.13449202364973212,0.0,0.6470352912953093,0.21847268505495848
North America,3-6 months,1000-5000 GBP,2,0,1.0,2,1,4,Education and Other,0.0,0.4,0.6,0.0
Asia,1-3 months,more than 5000 GBP,0,1,1.0,5,1,5,Holiday,0.0,0.2,0.6,0.2
UK,4-13 days,0-250 GBP,0,0,1.0,4,3,4,VFF,0.0,0.0,0.0,1.0
North America,14-27 days,1000-5000 GBP,1,1,1.0,7,3,4,Holiday,0.0,0.0,0.9,0.1
Asia,4-13 days,1000-5000 GBP,1,1,1.0,6,3,2,Holiday,0.21924603174603172,0.0,0.7807539682539681,0.0
Africa,4-13 days,500-1000 GBP,0,0,1.0,4,3,1,VFF,0.0,0.3,0.2,0.5
North America,4-13 days,1000-5000 GBP,1,1,1.0,6,3,4,Holiday,0.0,0.0,1.0,0.0
UK,4-13 days,250-500 GBP,0,0,1.0,6,3,6,VFF,0.18266233766233766,0.0,0.0,0.8173376623376623
Asia,4-13 days,500-1000 GBP,2,0,1.0,8,3,4,Holiday,0.0,0.0,0.6,0.4
EU,1-3 days,500-1000 GBP,1,0,1.0,6,7,6,Business or Work,0.27301587301587305,0.0,0.6464285714285715,0.08055555555555556
North America,1-3 days,250-500 GBP,1,1,1.0,5,7,6,Holiday,0.44000000000000006,0.0,0.5599999999999999,0.0
EU,1-3 days,500-1000 GBP,1,0,1.0,4,7,6,Business or Work,0.27595238095238095,0.0,0.724047619047619,0.0
Asia,4-13 days,0-250 GBP,0,0,1.0,8,7,5,VFF,0.0,0.0,0.09285714285714286,0.9071428571428571
UK,,0-250 GBP,0,1,1.0,8,7,7,Business or Work,0.1,0.325,0.1,0.475
Asia,4-13 days,1000-5000 GBP,1,0,1.0,5,7,2,Business or Work,0.8228496141539621,0.0,0.11924995294560511,0.0579004329004329
Africa,4-13 days,1000-5000 GBP,1,1,1.0,6,7,2,Education and Other,0.7543650793650795,0.0,0.24563492063492065,0.0
EU,1-3 days,0-250 GBP,0,1,1.0,6,7,5,Holiday,0.0,0.0,0.24333333333333335,0.7566666666666666
North America,4-13 days,1000-5000 GBP,0,0,1.0,6,6,1,Business or Work,0.5666666666666667,0.0,0.4333333333333333,0.0
North America,4-13 days,1000-5000 GBP,1,0,1.0,7,6,3,Business or Work,0.731655609612266,0.0,0.26834439038773406,0.0
South America,4-13 days,250-500 GBP,0,1,1.0,2,6,3,Holiday,0.0,0.0,0.925,0.075
Asia,4-13 days,1000-5000 GBP,0,0,1.0,8,6,1,VFF,0.0,0.13333333333333333,0.4666666666666667,0.4
EU,1-3 days,1000-5000 GBP,1,0,1.0,6,6,4,Business or Work,0.9161655011655009,0.0,0.08383449883449884,0.0
North America,4-13 days,250-500 GBP,1,0,1.0,8,6,3,Holiday,0.2,0.0,0.8,0.0
North America,1-3 days,250-500 GBP,1,1,1.0,4,6,4,Holiday,0.0,0.0,0.4666666666666667,0.5333333333333334
EU,4-13 days,500-1000 GBP,1,0,1.0,5,6,7,Holiday,0.6743512043512044,0.0,0.3256487956487956,0.0
North America,4-13 days,0-250 GBP,1,1,1.0,4,6,3,Business or Work,0.51,0.0,0.49000000000000005,0.0
Asia,1-3 days,1000-5000 GBP,1,1,1.0,6,6,4,Holiday,0.6943822843822844,0.0,0.1052991452991453,0.2003185703185703
EU,,1000-5000 GBP,1,1,1.0,7,6,6,Business or Work,0.5625,0.1,0.1625,0.175
EU,4-13 days,0-250 GBP,1,0,1.0,8,6,7,Holiday,0.0,0.1,0.6,0.3
North America,1-3 days,0-250 GBP,0,0,1.0,7,7,5,Holiday,0.0,0.0,0.025,0.975
Non-EU Europe,1-3 days,500-1000 GBP,1,0,1.0,6,7,6,Business or Work,0.43,0.0,0.5366666666666667,0.03333333333333333
North America,4-13 days,500-1000 GBP,1,0,1.0,5,7,3,Business or Work,0.8116666666666668,0.0,0.18833333333333332,0.0
South America,4-13 days,1000-5000 GBP,0,0,1.0,8,7,4,Holiday,0.1,0.0,0.2,0.7
Asia,4-13 days,500-1000 GBP,1,0,1.0,4,7,3,Holiday,0.5897619047619048,0.0,0.4102380952380952,0.0
North America,14-27 days,1000-5000 GBP,1,0,1.0,8,7,1,VFF,0.16912698412698413,0.0,0.8308730158730159,0.0
Africa,4-13 days,1000-5000 GBP,1,1,1.0,6,7,1,Holiday,0.5958333333333334,0.16666666666666666,0.2375,0.0
North America,1-3 days,1000-5000 GBP,1,1,1.0,5,7,5,Business or Work,0.7791233766233766,0.0,0.15629329004329,0.06458333333333334
Asia,14-27 days,500-1000 GBP,0,0,1.0,4,7,5,VFF,0.0,0.0,0.7,0.3
EU,14-27 days,0-250 GBP,0,0,1.0,6,7,5,VFF,0.0,0.0,0.0,1.0
Asia,4-13 days,1000-5000 GBP,1,1,1.0,7,7,7,Business or Work,0.0,0.0,1.0,0.0
EU,14-27 days,1000-5000 GBP,0,0,1.0,6,7,3,Business or Work,0.4333333333333333,0.0,0.11666666666666667,0.45
EU,1-3 days,0-250 GBP,1,1,1.0,4,7,5,Business or Work,0.0,0.0,0.9238888888888889,0.0761111111111111
EU,4-13 days,500-1000 GBP,1,0,1.0,4,6,2,Business or Work,0.8136318675537882,0.06006159658747838,0.12630653585873344,0.0
Asia,1-3 days,1000-5000 GBP,1,1,1.0,5,6,4,Business or Work,0.9028692422950735,0.0,0.09713075770492652,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,7,6,5,Business or Work,0.34833333333333333,0.0,0.6516666666666666,0.0
Asia,4-13 days,500-1000 GBP,1,1,1.0,7,6,7,VFF,0.04285714285714286,0.0,0.9571428571428571,0.0
North America,4-13 days,1000-5000 GBP,1,1,1.0,4,6,2,Business or Work,0.8499339453649798,0.0,0.15006605463502015,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,6,6,5,Business or Work,0.862464106591035,0.0,0.10365445032345452,0.03388144308551041
UK,4-13 days,1000-5000 GBP,1,1,1.0,6,6,4,Business or Work,1.0,0.0,0.0,0.0
EU,1-3 days,0-250 GBP,1,0,1.0,2,6,4,Business or Work,0.04393939393939393,0.0,0.6727272727272726,0.2833333333333333
