Broad_Nationality_encoded,Stay_Category_encoded,Spend_Category_encoded,Flow,Age,London_or_out,accom_type,DayOfWeek,TripStartDay,Broad_Purpose_encoded,Business or Work,Education or Other,Holiday,VFF
EU,4-13 days,500-1000 GBP,1.0,4,0,1,2,6.0,Holiday,0.21834602487532986,0.0,0.700360117208628,0.08129385791604218
South America,1-3 months,1000-5000 GBP,1.0,7,0,0,2,5.0,VFF,0.0,0.1,0.6,0.3
EU,1-3 days,0-250 GBP,1.0,2,0,1,2,7.0,VFF,0.14017968142968143,0.0,0.6740713453213454,0.18574897324897327
EU,4-13 days,0-250 GBP,1.0,6,0,0,2,6.0,VFF,0.0,0.02015924478312353,0.11860865887666154,0.8612320963402148
North America,1-3 days,250-500 GBP,1.0,5,0,1,2,7.0,VFF,0.4189682539682539,0.0,0.1811111111111111,0.39992063492063495
Non-EU Europe,1-3 days,0-250 GBP,1.0,5,0,1,2,1.0,Holiday,0.11812169312169311,0.0,0.8529100529100528,0.028968253968253966
EU,1-3 months,1000-5000 GBP,1.0,7,0,0,2,1.0,Holiday,0.0,0.0,0.1,0.9
EU,1-3 days,250-500 GBP,1.0,5,0,1,2,1.0,Holiday,0.04162505851146825,0.0,0.7537655705518282,0.20460937093670362
South America,4-13 days,500-1000 GBP,1.0,7,0,0,2,6.0,VFF,0.0,0.0,0.4,0.6
South America,1-3 days,250-500 GBP,1.0,4,0,0,2,1.0,VFF,0.0,0.0,0.8666666666666668,0.13333333333333333
South America,4-13 days,500-1000 GBP,1.0,7,0,0,2,2.0,VFF,0.0,0.0,0.5,0.5
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,3.0,Holiday,0.0,0.0,0.06469940545388116,0.935300594546119
EU,4-13 days,250-500 GBP,1.0,5,0,0,2,2.0,Holiday,0.0,0.0,0.23166666666666663,0.7683333333333333
EU,4-13 days,250-500 GBP,1.0,5,0,0,2,5.0,Holiday,0.08483496109154004,0.0,0.34810956368193213,0.5670554752265279
EU,6,250-500 GBP,1.0,4,0,1,2,2.0,Holiday,0.23333333333333334,0.1,0.6166666666666667,0.05
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,6.0,VFF,0.0,0.0,0.25394169439686154,0.7460583056031383
EU,1-3 days,500-1000 GBP,1.0,4,0,1,2,7.0,Holiday,0.13396240545899588,0.0,0.7430937178942209,0.12294387664678326
South America,4-13 days,250-500 GBP,1.0,4,0,0,2,4.0,VFF,0.0,0.0,0.4,0.6
EU,4-13 days,250-500 GBP,1.0,7,0,2,2,2.0,VFF,0.0,0.0,0.8,0.2
South America,1-3 days,0-250 GBP,1.0,6,0,0,2,7.0,VFF,0.0,0.0,0.74,0.26
North America,4-13 days,0-250 GBP,1.0,5,0,0,2,6.0,VFF,0.0,0.0,0.35636988011988013,0.6436301198801199
South America,4-13 days,250-500 GBP,1.0,7,0,0,2,3.0,Holiday,0.0,0.0,0.45,0.55
South America,4-13 days,0-250 GBP,1.0,8,0,0,2,4.0,VFF,0.0,0.0,0.3,0.7
EU,4-13 days,500-1000 GBP,1.0,4,0,1,2,6.0,VFF,0.21834602487532986,0.0,0.700360117208628,0.08129385791604218
Africa,14-27 days,1000-5000 GBP,1.0,4,0,2,2,3.0,Education and Other,0.125,0.1,0.375,0.4
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,3.0,VFF,0.04560545935545936,0.060206830206830195,0.09737313612313611,0.7968145743145744
EU,6,250-500 GBP,1.0,4,0,1,2,2.0,Holiday,0.23333333333333334,0.1,0.6166666666666667,0.05
EU,4-13 days,0-250 GBP,1.0,2,0,0,2,5.0,VFF,0.0,0.0,0.2198669321584923,0.7801330678415078
Non-EU Europe,1-3 days,250-500 GBP,1.0,4,0,1,2,1.0,Business or Work,0.10502705627705629,0.0,0.8949729437229438,0.0
EU,1-3 days,0-250 GBP,1.0,4,0,0,2,7.0,VFF,0.010403855939436785,0.0,0.17820320309773902,0.8113929409628241
South America,1-3 months,0-250 GBP,1.0,5,0,0,2,6.0,VFF,0.7,0.0,0.3,0.0
South America,4-13 days,0-250 GBP,1.0,7,0,1,2,5.0,VFF,0.9,0.0,0.0,0.1
EU,1-3 days,0-250 GBP,1.0,4,0,2,2,7.0,VFF,0.0,0.06075640862405568,0.5784314786520669,0.3608121127238774
EU,4-13 days,0-250 GBP,1.0,8,0,1,2,6.0,Education and Other,0.0,0.0,0.0,1.0
South America,4-13 days,0-250 GBP,1.0,8,0,0,2,6.0,VFF,0.0,0.0,0.4,0.6
EU,6,0-250 GBP,1.0,4,0,1,2,2.0,Business or Work,0.5033333333333333,0.1,0.25,0.14666666666666667
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,5.0,VFF,0.02838182128504709,0.021294993809593363,0.23088400825886918,0.7194391766464904
EU,1-3 days,1000-5000 GBP,1.0,2,0,1,2,7.0,Holiday,0.0,0.05,0.625,0.325
EU,4-13 days,250-500 GBP,1.0,4,1,0,2,6.0,Holiday,0.0,0.0,0.38056614158040997,0.61943385841959
EU,4-13 days,500-1000 GBP,1.0,4,0,2,2,5.0,Business or Work,0.0,0.0,1.0,0.0
South America,1-3 days,0-250 GBP,1.0,5,0,0,2,7.0,VFF,0.0,0.0,0.1,0.9
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,3.0,Holiday,0.0,0.0,0.06469940545388116,0.935300594546119
South America,4-13 days,0-250 GBP,1.0,7,0,0,2,6.0,VFF,0.0,0.04444444444444444,0.1388888888888889,0.8166666666666667
EU,6,250-500 GBP,1.0,5,0,1,2,2.0,Business or Work,0.3025,0.1,0.465,0.1325
EU,6,0-250 GBP,1.0,3,0,0,2,2.0,Holiday,0.0,0.1,0.8,0.1
EU,4-13 days,0-250 GBP,1.0,7,0,0,2,6.0,VFF,0.06871375084693707,0.0,0.06734475096149772,0.8639414981915652
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,5.0,VFF,0.0,0.0,0.2566967417495783,0.7433032582504218
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,6.0,VFF,0.0,0.0,0.25394169439686154,0.7460583056031383
EU,1-3 days,0-250 GBP,1.0,6,0,0,2,7.0,VFF,0.0,0.02802516097424747,0.08218314158977752,0.8897916974359749
South America,4-13 days,250-500 GBP,1.0,6,0,0,2,4.0,VFF,0.0,0.0,0.7283333333333333,0.27166666666666667
EU,6,0-250 GBP,1.0,5,0,1,2,2.0,Holiday,0.45,0.1,0.45,0.0
South America,14-27 days,500-1000 GBP,1.0,4,0,0,2,3.0,VFF,0.0,0.15,0.4,0.45
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,4.0,VFF,0.0,0.0,0.2750213675213675,0.7249786324786325
EU,6,250-500 GBP,1.0,5,0,1,2,2.0,Business or Work,0.3025,0.1,0.465,0.1325
EU,4-13 days,250-500 GBP,1.0,2,0,0,2,5.0,VFF,0.0,0.0,0.4073168498168499,0.5926831501831502
South America,1-3 days,0-250 GBP,1.0,7,0,0,2,1.0,VFF,0.0,0.0,0.39,0.61
EU,4-13 days,500-1000 GBP,1.0,4,0,0,2,6.0,VFF,0.0,0.0,0.7502405002405003,0.24975949975949976
EU,6,250-500 GBP,1.0,6,0,1,2,2.0,Holiday,0.08333333333333333,0.2,0.5333333333333333,0.18333333333333332
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,6.0,VFF,0.0,0.024392234732775346,0.13990627092276936,0.8357014943444554
EU,6,0-250 GBP,1.0,4,0,1,2,2.0,Holiday,0.5033333333333333,0.1,0.25,0.14666666666666667
EU,1-3 days,0-250 GBP,1.0,4,0,0,2,1.0,VFF,0.0,0.0,0.23860281953896162,0.7613971804610384
EU,4-13 days,0-250 GBP,1.0,4,0,0,2,5.0,VFF,0.02838182128504709,0.021294993809593363,0.23088400825886918,0.7194391766464904
Other,4-13 days,1000-5000 GBP,1.0,4,0,1,3,7.0,Business or Work,0.0,0.0,0.8,0.2
EU,1-3 days,500-1000 GBP,1.0,8,0,1,3,2.0,Holiday,0.2577777777777778,0.0,0.5422222222222223,0.2
EU,1-3 days,500-1000 GBP,1.0,5,0,1,3,2.0,Business or Work,0.9022338935574229,0.0,0.09776610644257704,0.0
Africa,1-3 months,1000-5000 GBP,1.0,5,0,0,3,2.0,VFF,0.0,0.0,0.8,0.2
North America,4-13 days,250-500 GBP,1.0,2,0,0,3,1.0,VFF,0.0,0.0,0.7,0.3
Asia,4-13 days,1000-5000 GBP,1.0,6,0,1,3,7.0,Business or Work,0.0,0.0,1.0,0.0
South America,1-3 days,250-500 GBP,1.0,6,0,0,3,1.0,Holiday,0.05,0.05,0.15833333333333333,0.7416666666666667
South America,4-13 days,0-250 GBP,1.0,5,0,0,3,5.0,VFF,0.0,0.0,0.1,0.9
EU,1-3 days,0-250 GBP,1.0,6,0,1,3,2.0,Business or Work,0.7902353030526406,0.0766065118232301,0.049086731981468824,0.08407145314266057
EU,4-13 days,500-1000 GBP,1.0,4,0,1,2,6.0,Holiday,0.21834602487532986,0.0,0.700360117208628,0.08129385791604218
North America,14-27 days,1000-5000 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.5,0.5
EU,1-3 days,500-1000 GBP,1.0,8,0,2,2,1.0,Holiday,0.0,0.1,0.275,0.625
North America,4-13 days,1000-5000 GBP,1.0,4,0,1,2,4.0,Holiday,0.6,0.0,0.39999999999999997,0.0
North America,4-13 days,0-250 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.2743650793650794,0.7256349206349206
EU,6,250-500 GBP,1.0,4,0,1,2,2.0,Business or Work,0.23333333333333334,0.1,0.6166666666666667,0.05
North America,4-13 days,0-250 GBP,1.0,5,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
North America,14-27 days,0-250 GBP,1.0,4,0,0,2,3.0,VFF,0.0,0.0,0.4,0.6
South America,4-13 days,0-250 GBP,1.0,7,0,1,2,6.0,VFF,0.4,0.0,0.4,0.2
North America,14-27 days,1000-5000 GBP,1.0,8,0,1,2,5.0,Holiday,0.0,0.0,0.9,0.1
North America,4-13 days,500-1000 GBP,1.0,8,0,0,2,4.0,Holiday,0.0,0.0,0.0,1.0
North America,4-13 days,1000-5000 GBP,1.0,5,0,1,2,3.0,VFF,0.17054945054945053,0.0,0.6581868131868132,0.17126373626373623
EU,4-13 days,500-1000 GBP,1.0,7,0,1,2,6.0,Holiday,0.2217965367965368,0.0,0.720465367965368,0.057738095238095234
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1.0,7,0,0,2,6.0,Holiday,0.6,0.0,0.12,0.27999999999999997
Non-EU Europe,4-13 days,1000-5000 GBP,1.0,4,0,2,2,6.0,Holiday,0.0,0.0,0.8333333333333333,0.16666666666666666
North America,1-3 days,250-500 GBP,1.0,6,1,1,2,1.0,Business or Work,0.4045238095238096,0.0,0.43785714285714283,0.15761904761904763
North America,4-13 days,1000-5000 GBP,1.0,6,0,0,2,3.0,VFF,0.325,0.0,0.55,0.125
EU,1-3 days,1000-5000 GBP,1.0,4,0,1,2,7.0,Holiday,0.28964285714285715,0.0,0.7103571428571429,0.0
EU,6,0-250 GBP,1.0,5,0,1,2,2.0,Business or Work,0.45,0.1,0.45,0.0
Asia,14-27 days,1000-5000 GBP,1.0,6,1,1,2,3.0,Holiday,0.05,0.0,0.9,0.05
North America,1-3 days,250-500 GBP,1.0,6,0,1,2,7.0,Holiday,0.12570318570318573,0.0,0.6981607281607282,0.17613608613608617
North America,14-27 days,250-500 GBP,1.0,7,0,0,2,3.0,VFF,0.0,0.0,0.0,1.0
South America,4-13 days,0-250 GBP,1.0,4,0,0,2,1.0,VFF,0.2,0.0,0.0,0.8
South America,14-27 days,500-1000 GBP,1.0,5,0,0,2,3.0,VFF,0.0,0.0,0.2,0.8
EU,14-27 days,500-1000 GBP,1.0,8,0,0,2,5.0,VFF,0.0,0.0,0.0,1.0
"Australia, NZ and Oceania",4-13 days,500-1000 GBP,1.0,6,0,0,2,3.0,VFF,0.0,0.0,0.4333333333333333,0.5666666666666667
Asia,4-13 days,1000-5000 GBP,1.0,7,0,1,2,6.0,Holiday,0.28374458874458874,0.0,0.38643939393939397,0.32981601731601734
South America,4-13 days,250-500 GBP,1.0,6,0,0,2,5.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,250-500 GBP,1.0,6,0,0,2,6.0,Holiday,0.023229771583430116,0.015931087882307394,0.40747646998372566,0.5533626705505368
South America,1-3 months,1000-5000 GBP,1.0,8,0,0,2,3.0,VFF,0.0,0.0,0.3,0.7
Non-EU Europe,4-13 days,500-1000 GBP,1.0,5,0,1,2,6.0,Holiday,0.0,0.0,0.5183333333333333,0.48166666666666674
Non-EU Europe,4-13 days,500-1000 GBP,1.0,5,0,1,2,6.0,Holiday,0.0,0.0,0.5183333333333333,0.48166666666666674
North America,14-27 days,1000-5000 GBP,1.0,8,0,1,2,3.0,VFF,0.0,0.0,0.5568223443223442,0.44317765567765566
Other,1-3 days,250-500 GBP,1.0,2,0,1,2,7.0,Holiday,0.0,0.0,0.7366666666666667,0.2633333333333333
Non-EU Europe,1-3 days,500-1000 GBP,1.0,4,0,1,2,7.0,Holiday,0.0,0.0,0.9122320635347961,0.08776793646520391
EU,4-13 days,1000-5000 GBP,1.0,6,0,1,2,5.0,Holiday,0.5633333333333332,0.0,0.4366666666666667,0.0
Non-EU Europe,1-3 days,1000-5000 GBP,1.0,6,0,1,2,7.0,Holiday,0.0,0.0,1.0,0.0
Non-EU Europe,4-13 days,1000-5000 GBP,1.0,6,0,1,2,6.0,Holiday,0.375,0.0,0.625,0.0
Non-EU Europe,4-13 days,1000-5000 GBP,1.0,6,0,1,2,5.0,Holiday,0.0,0.0,1.0,0.0
Non-EU Europe,1-3 days,500-1000 GBP,1.0,5,0,2,2,7.0,Holiday,0.0,0.04,0.96,0.0
EU,1-3 days,250-500 GBP,1.0,5,0,1,4,3.0,Business or Work,0.9179026971445223,0.0,0.0820973028554776,0.0
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1.0,6,0,0,4,7.0,Business or Work,0.1,0.0,0.6,0.3
EU,4-13 days,0-250 GBP,1.0,2,0,1,4,1.0,Holiday,0.0,0.0,1.0,0.0
South America,4-13 days,0-250 GBP,1.0,5,0,0,4,4.0,VFF,0.1,0.0,0.4,0.5
EU,4-13 days,0-250 GBP,1.0,8,0,0,4,6.0,VFF,0.0,0.0,0.0675,0.9324999999999999
EU,1-3 days,0-250 GBP,1.0,8,0,1,4,2.0,Holiday,0.16666666666666666,0.0,0.8333333333333333,0.0
North America,1-3 days,250-500 GBP,1.0,7,0,1,4,2.0,Business or Work,0.6066666666666667,0.0,0.39333333333333337,0.0
South America,4-13 days,500-1000 GBP,1.0,4,0,0,4,5.0,VFF,0.0,0.0,0.1,0.9
Asia,4-13 days,500-1000 GBP,1.0,4,0,1,7,4.0,Holiday,0.7843650793650794,0.0,0.21563492063492062,0.0
North America,4-13 days,1000-5000 GBP,1.0,6,0,1,7,1.0,Holiday,0.4570494184178395,0.0,0.4545050232418653,0.08844555834029519
Non-EU Europe,4-13 days,250-500 GBP,1.0,4,0,1,7,4.0,Holiday,0.1041025641025641,0.0,0.8415384615384616,0.05435897435897437
South America,1-3 days,0-250 GBP,1.0,6,0,0,7,6.0,VFF,0.0,0.0,0.4708333333333334,0.5291666666666666
South America,4-13 days,0-250 GBP,1.0,5,0,0,7,4.0,VFF,0.0,0.0,0.185,0.8150000000000001
EU,4-13 days,250-500 GBP,1.0,2,0,0,7,4.0,VFF,0.0,0.09477845683728037,0.6121138910109498,0.2931076521517698
EU,1-3 months,0-250 GBP,1.0,4,0,0,7,4.0,VFF,0.008225806451612904,0.0,0.015,0.9767741935483872
EU,4-13 days,1000-5000 GBP,1.0,6,0,1,7,4.0,VFF,0.3416666666666667,0.0,0.6583333333333334,0.0
Non-EU Europe,1-3 days,250-500 GBP,1.0,6,0,1,7,6.0,VFF,0.4,0.0,0.6,0.0
EU,6,0-250 GBP,1.0,2,0,1,7,7.0,Holiday,0.2,0.1,0.41666666666666663,0.2833333333333333
EU,4-13 days,500-1000 GBP,1.0,6,0,1,7,4.0,Holiday,0.8175523088023088,0.0,0.18244769119769116,0.0
North America,4-13 days,1000-5000 GBP,1.0,2,0,1,7,1.0,Holiday,0.0,0.0,1.0,0.0
North America,6,0-250 GBP,1.0,4,0,1,7,7.0,Holiday,0.1,0.0,0.5,0.4
EU,1-3 days,250-500 GBP,1.0,7,0,1,7,5.0,VFF,0.3626943644590704,0.0,0.3375149360443478,0.29979069949658177
EU,4-13 days,0-250 GBP,1.0,5,0,0,2,3.0,VFF,0.04560545935545936,0.060206830206830195,0.09737313612313611,0.7968145743145744
North America,4-13 days,0-250 GBP,1.0,4,0,0,2,6.0,VFF,0.0,0.0,0.08225343497082627,0.9177465650291738
EU,6,250-500 GBP,1.0,5,0,1,2,2.0,Business or Work,0.3025,0.1,0.465,0.1325
South America,4-13 days,250-500 GBP,1.0,5,0,1,2,6.0,VFF,0.15499999999999997,0.0,0.6733333333333333,0.1716666666666667
EU,4-13 days,1000-5000 GBP,1.0,5,0,1,2,6.0,Holiday,0.7983333333333335,0.0,0.20166666666666666,0.0
North America,4-13 days,more than 5000 GBP,1.0,8,0,1,2,3.0,Business or Work,0.2,0.0,0.7,0.1
EU,1-3 days,250-500 GBP,1.0,6,0,1,2,1.0,Business or Work,0.14880927340455471,0.0,0.6919644122094214,0.15922631438602403
EU,4-13 days,250-500 GBP,1.0,4,0,0,4,6.0,VFF,0.0,0.0,0.0,1.0
EU,6,0-250 GBP,1.0,5,0,0,4,4.0,VFF,0.0,0.2,0.16666666666666666,0.6333333333333333
EU,6,250-500 GBP,1.0,6,0,1,4,4.0,VFF,0.0,0.0,0.9166666666666666,0.08333333333333333
EU,6,0-250 GBP,1.0,5,0,0,4,4.0,VFF,0.0,0.2,0.16666666666666666,0.6333333333333333
EU,4-13 days,250-500 GBP,1.0,4,0,0,4,5.0,VFF,0.028074074074074074,0.0,0.16215262904736588,0.80977329687856
EU,1-3 days,0-250 GBP,1.0,5,0,1,4,2.0,Business or Work,0.8055005043975634,0.0,0.16648478972008385,0.02801470588235294
South America,14-27 days,500-1000 GBP,1.0,8,0,0,4,5.0,VFF,0.0,0.0,0.2,0.8
EU,4-13 days,250-500 GBP,1.0,6,0,1,4,1.0,Business or Work,0.12095238095238095,0.0,0.6511904761904762,0.22785714285714284
South America,4-13 days,500-1000 GBP,1.0,8,0,0,4,1.0,VFF,0.0,0.0,0.5966666666666667,0.4033333333333333
EU,6,0-250 GBP,1.0,2,0,1,4,4.0,Business or Work,0.1,0.2,0.5,0.2
EU,4-13 days,250-500 GBP,1.0,6,0,0,4,1.0,VFF,0.11713498489814278,0.0,0.3330666409613778,0.5497983741404794
EU,6,0-250 GBP,1.0,3,0,1,4,4.0,Holiday,0.26666666666666666,0.1,0.5,0.13333333333333333
EU,4-13 days,0-250 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.10147474059544999,0.10193895669124502,0.7965863027133049
South America,4-13 days,250-500 GBP,1.0,7,0,0,4,3.0,VFF,0.0,0.0,0.4,0.6
South America,4-13 days,0-250 GBP,1.0,7,0,0,4,2.0,VFF,0.0,0.0,0.0,1.0
EU,4-13 days,500-1000 GBP,1.0,7,0,1,4,1.0,VFF,0.1459199134199134,0.13932900432900436,0.6212554112554112,0.09349567099567099
EU,14-27 days,500-1000 GBP,1.0,5,0,0,4,5.0,VFF,0.0,0.0,0.29333333333333333,0.7066666666666667
EU,6,250-500 GBP,1.0,4,0,1,4,4.0,Holiday,0.1,0.0,0.9,0.0
Non-EU Europe,14-27 days,500-1000 GBP,1.0,6,0,0,4,5.0,Holiday,0.0,0.05333333333333333,0.5,0.44666666666666666
South America,4-13 days,0-250 GBP,1.0,6,0,0,4,7.0,VFF,0.1,0.0,0.5428571428571428,0.3571428571428571
EU,1-3 days,250-500 GBP,1.0,2,0,1,4,2.0,Holiday,0.2052651515151515,0.055113636363636365,0.6674242424242424,0.07219696969696969
EU,6,0-250 GBP,1.0,5,0,1,4,4.0,Holiday,0.2,0.0,0.5916666666666666,0.20833333333333334
EU,4-13 days,0-250 GBP,1.0,6,0,0,4,1.0,VFF,0.0,0.0,0.23473839885604594,0.7652616011439541
EU,6,0-250 GBP,1.0,5,0,1,4,4.0,VFF,0.2,0.0,0.5916666666666666,0.20833333333333334
EU,1-3 days,250-500 GBP,1.0,5,0,1,4,3.0,Business or Work,0.9179026971445223,0.0,0.0820973028554776,0.0
EU,1-3 days,1000-5000 GBP,1.0,5,0,1,4,2.0,Business or Work,0.95,0.0,0.05,0.0
EU,1-3 days,250-500 GBP,1.0,4,0,1,4,2.0,Business or Work,0.47080705097541936,0.0,0.47969291786118956,0.049500031163391134
EU,1-3 days,500-1000 GBP,1.0,7,0,1,4,3.0,Business or Work,0.9703296703296704,0.0,0.02967032967032967,0.0
EU,1-3 days,250-500 GBP,1.0,8,0,1,4,2.0,VFF,0.0,0.0,1.0,0.0
EU,1-3 days,500-1000 GBP,1.0,6,0,1,4,3.0,Business or Work,0.9661764705882353,0.0,0.0,0.03382352941176471
EU,4-13 days,500-1000 GBP,1.0,5,0,1,4,1.0,Holiday,0.809845154845155,0.0,0.1901548451548451,0.0
EU,1-3 days,250-500 GBP,1.0,5,0,1,4,2.0,Business or Work,0.656825755126002,0.0,0.26199366849552047,0.08118057637847743
EU,1-3 days,500-1000 GBP,1.0,7,0,1,3,2.0,Business or Work,0.731111111111111,0.0,0.2688888888888889,0.0
EU,6,0-250 GBP,1.0,4,0,1,3,3.0,Business or Work,0.15714285714285714,0.0,0.7428571428571429,0.1
South America,4-13 days,250-500 GBP,1.0,6,0,0,3,4.0,VFF,0.0,0.0,0.5958333333333333,0.4041666666666666
EU,1-3 days,250-500 GBP,1.0,7,0,1,3,2.0,Business or Work,0.5169467787114845,0.089890289449113,0.1106045751633987,0.2825583566760037
EU,1-3 days,500-1000 GBP,1.0,5,0,1,3,2.0,Business or Work,0.9022338935574229,0.0,0.09776610644257704,0.0
EU,6,0-250 GBP,1.0,5,0,1,3,3.0,Business or Work,0.5,0.0,0.4,0.1
EU,1-3 days,500-1000 GBP,1.0,6,0,1,3,2.0,Business or Work,0.8139069264069263,0.10822510822510822,0.07786796536796536,0.0
EU,6,250-500 GBP,1.0,7,0,1,3,3.0,Business or Work,0.0,0.0,0.0,1.0
EU,6,250-500 GBP,1.0,5,0,1,3,3.0,Business or Work,0.0,0.0,0.9875,0.0125
EU,1-3 days,250-500 GBP,1.0,5,0,1,3,2.0,Business or Work,0.8353035825046989,0.030292853140082777,0.13440356435521833,0.0
EU,1-3 days,0-250 GBP,1.0,5,0,1,3,1.0,Business or Work,0.30368729309905784,0.0,0.38034462269756386,0.31596808420337835
EU,1-3 days,0-250 GBP,1.0,5,0,1,3,2.0,Business or Work,0.6597706796209787,0.0,0.13489030137288055,0.20533901900614088
EU,4-13 days,250-500 GBP,1.0,6,0,0,3,6.0,Holiday,0.0,0.0,0.2153370030382414,0.7846629969617586
Non-EU Europe,14-27 days,1000-5000 GBP,1.0,5,0,0,3,4.0,VFF,0.1,0.0,0.0,0.9
EU,1-3 days,250-500 GBP,1.0,6,0,1,3,2.0,Business or Work,0.5291684087140149,0.08539584108883329,0.3030769869729825,0.08235876322416923
Non-EU Europe,4-13 days,500-1000 GBP,1.0,6,0,1,3,6.0,Holiday,0.0,0.0,1.0,0.0
EU,6,0-250 GBP,1.0,5,0,1,6,6.0,Holiday,0.6799999999999999,0.0,0.3,0.02
North America,1-3 days,250-500 GBP,1.0,7,0,1,6,5.0,VFF,0.575,0.03333333333333333,0.39166666666666666,0.0
South America,1-3 days,0-250 GBP,1.0,5,0,1,6,5.0,Business or Work,0.55,0.0,0.36666666666666664,0.08333333333333333
EU,1-3 days,250-500 GBP,1.0,2,0,1,6,5.0,Holiday,0.2952380952380952,0.0,0.7047619047619047,0.0
"Australia, NZ and Oceania",4-13 days,1000-5000 GBP,1.0,8,0,1,6,4.0,Holiday,0.2,0.0,0.6833333333333333,0.11666666666666667
South America,1-3 days,250-500 GBP,1.0,2,0,0,6,5.0,Holiday,0.0,0.05,0.5833333333333334,0.36666666666666664
EU,4-13 days,1000-5000 GBP,1.0,8,0,1,6,2.0,VFF,0.025,0.0,0.675,0.3
South America,6-12 months,more than 5000 GBP,1.0,2,0,0,6,4.0,Education and Other,0.3,0.6,0.0,0.1
EU,6,0-250 GBP,1.0,2,0,1,6,6.0,Holiday,0.3,0.1,0.5,0.1
EU,1-3 days,250-500 GBP,1.0,6,0,1,6,4.0,Holiday,0.8167029823452367,0.0,0.1486026058837387,0.034694411771024676
EU,1-3 days,0-250 GBP,1.0,6,0,1,6,5.0,VFF,0.8500165097468848,0.0,0.12141989783586418,0.028563592417250955
EU,4-13 days,500-1000 GBP,1.0,5,0,1,6,7.0,VFF,0.517281746031746,0.0,0.4827182539682539,0.0
EU,1-3 days,250-500 GBP,1.0,6,0,1,6,4.0,VFF,0.8167029823452367,0.0,0.1486026058837387,0.034694411771024676
EU,1-3 days,250-500 GBP,1.0,7,0,1,6,5.0,Holiday,0.9211474167830904,0.0,0.07885258321690959,0.0
EU,1-3 days,250-500 GBP,1.0,6,0,1,6,4.0,Business or Work,0.8167029823452367,0.0,0.1486026058837387,0.034694411771024676
EU,1-3 days,1000-5000 GBP,1.0,6,0,1,6,4.0,Holiday,0.761688842203548,0.0,0.2383111577964519,0.0
South America,4-13 days,0-250 GBP,1.0,6,0,0,6,2.0,VFF,0.1,0.0,0.0,0.9
EU,1-3 days,0-250 GBP,1.0,7,0,0,6,5.0,VFF,0.16865800865800865,0.0,0.0,0.8313419913419912
North America,14-27 days,500-1000 GBP,1.0,4,0,0,1,2.0,VFF,0.0,0.03333333333333333,0.0,0.9666666666666666
South America,4-13 days,0-250 GBP,1.0,5,0,0,1,3.0,VFF,0.3,0.0,0.1,0.6
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1.0,7,0,0,1,4.0,VFF,0.0,0.1,0.1369047619047619,0.7630952380952382
North America,4-13 days,500-1000 GBP,1.0,4,0,0,1,5.0,VFF,0.0,0.44666666666666666,0.4033333333333333,0.15
EU,1-3 days,250-500 GBP,1.0,5,0,1,1,7.0,Holiday,0.11449357486094185,0.007774799824364388,0.7097008050565278,0.16803082025816585
Africa,14-27 days,250-500 GBP,1.0,5,0,0,1,6.0,VFF,0.1,0.2,0.1,0.6
North America,4-13 days,more than 5000 GBP,1.0,6,0,1,1,6.0,Holiday,0.1,0.0,0.65,0.25
"Australia, NZ and Oceania",14-27 days,0-250 GBP,1.0,4,0,0,1,4.0,VFF,0.03333333333333333,0.0,0.03333333333333333,0.9333333333333332
North America,4-13 days,1000-5000 GBP,1.0,4,0,2,1,7.0,Holiday,0.0,0.0,1.0,0.0
North America,4-13 days,0-250 GBP,1.0,8,0,0,1,3.0,VFF,0.0,0.0,0.0,1.0
Asia,1-3 days,500-1000 GBP,1.0,6,0,1,1,6.0,Holiday,0.0,0.0,0.4066666666666666,0.5933333333333334
South America,4-13 days,1000-5000 GBP,1.0,4,0,0,1,4.0,VFF,0.27666666666666667,0.0,0.1,0.6233333333333333
Asia,14-27 days,250-500 GBP,1.0,4,0,0,1,1.0,Education and Other,0.05,0.0,0.15,0.8
"Australia, NZ and Oceania",14-27 days,1000-5000 GBP,1.0,7,1,1,1,5.0,VFF,0.0,0.0,0.8,0.2
Non-EU Europe,4-13 days,250-500 GBP,1.0,5,0,0,1,5.0,VFF,0.01015531660692951,0.0,0.3152457757296467,0.6745989076634238
EU,4-13 days,0-250 GBP,1.0,6,0,0,4,7.0,VFF,0.0718989709121288,0.0,0.22910310449784138,0.69899792459003
